项目管理中心策划设计业务收入台账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同基本信息,,,,,,,,,,,,,各部门合同额,,,,,,,,,,,,,,,收款条件,,,,节点执行情况,,,,,,,,,,,业务部门履约进展,,,累计,,,,,,各部门收入分配,,,,,,,,,,,,,,各部门回款分配,,,,,,,,,,,,,,法律合规,,,,开始时间,45323.00 ,,,,,,,,,
序号,区域,签订日期,项目名称,项目编号, ,合同编号,类型,甲方合同编号,"甲方单位
名称",总建面,单价描述,合同总金额,客研,创作中心,创作一室,创作二室,创作三室,工程中心,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,D e si g n R,项目管理,外委归属部门,次序,合同付款节点,比例,合同节点金额,收入金额,形式,收入日期,产值确认金额,产值确认日期,实际开票金额,开票日期,回款金额,回款时间,应收账款,备注,设计进度,"商务
沟通情况",成果确认单确认日期,累计收入,累计开票金额,累计回款金额,剩余收入,已确认收入未开票,已开票未回款,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,形成方式,合同审批方式,,,结束时间,45351.00 ,,,,,,,,,
76,华南,43593.00 ,广州白云区高铁站项目,无,广州白云区高铁站开发项目咨询顾问服务合同,CRCCRE-SJ-CH-2019-002,可研,,中铁房地产集团华南有限公司,,单项目：29.8万元,298000.00 ,149000.00 ,0.00 ,149000.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,/,策划-1,乙方完成甲方最终认可的顾问服务报告，在甲方验收并作出书面确认后，次月30日前支付,0.85 ,253300.00 ,253300.00 ,产值确认单,43654.00 ,253300.00 ,43654.00 ,253300.00 ,43692.00 ,253300.00 ,43709.00 ,0.00 ,,同节点,,43692.00 ,298000.00 ,253300.00 ,298000.00 ,0.00 ,44700.00 ,-44700.00 ,126650.00 ,,126650.00 ,,,,,,,,,,,,126650.00 ,,126650.00 ,,,,,,,,,,,,比选,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,策划-2,合同服务期（2年）届满后次月30日前再支付剩余合同款,0.15 ,44700.00 ,44700.00 ,产值确认单,43654.00 ,44700.00 ,43654.00 ,0.00 ,,44700.00 ,,0.00 ,,同节点,,43692.00 ,,,,,,,22350.00 ,,22350.00 ,,,,,,,,,,,,22350.00 ,,22350.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
77,华南,43706.00 ,广州镇龙站项目,无,广州镇龙站交通枢纽项目咨询顾问服务合同,CRCCRE-SJ-CH-2019-005,可研,,中铁房地产集团华南有限公司,/,单项目：21万元,210000.00 ,110000.00 ,0.00 ,100000.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,/,策划-1,乙方完成甲方最终认可的顾问服务报告，在甲方验收并作出书面确认后，次月30日前支付,0.85 ,178500.00 ,178500.00 ,产值确认单,43814.00 ,178500.00 ,43814.00 ,178500.00 ,43922.00 ,178500.00 ,43979.00 ,0.00 ,缺少呈批件,同节点,,43814.00 ,210000.00 ,178500.00 ,210000.00 ,0.00 ,31500.00 ,-31500.00 ,93500.00 ,,85000.00 ,,,,,,,,,,,,93500.00 ,,85000.00 ,,,,,,,,,,,,比选,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,策划-2,合同服务期（2年）届满后次月30日前再支付剩余合同款,0.15 ,31500.00 ,31500.00 ,产值确认单,43814.00 ,31500.00 ,43814.00 ,0.00 ,,31500.00 ,,0.00 ,,同节点,,43814.00 ,,,,,,,16500.00 ,,15000.00 ,,,,,,,,,,,,16500.00 ,,15000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
78,华南,43791.00 ,福州南站项目,无,福州南站项目概念发展咨询顾问服务合同,CRCCRE-SJ-CH-2019-009,可研,,中铁房地产集团华南有限公司,/,单项目：21万元,210000.00 ,110000.00 ,0.00 ,100000.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,/,策划-1,乙方完成甲方最终认可的顾问服务报告，在甲方验收并作出书面确认后，次月30日前支付,0.85 ,178500.00 ,178500.00 ,产值确认单,43814.00 ,178500.00 ,43814.00 ,178500.00 ,43922.00 ,178500.00 ,43997.00 ,0.00 ,,同节点,财务系统已走到合同收票，预计6月初回款,43814.00 ,210000.00 ,178500.00 ,210000.00 ,0.00 ,31500.00 ,-31500.00 ,93500.00 ,,85000.00 ,,,,,,,,,,,,93500.00 ,,85000.00 ,,,,,,,,,,,,比选,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,策划-2,合同服务期（2年）届满后次月30日前再支付剩余合同款,0.15 ,31500.00 ,31500.00 ,产值确认单,43814.00 ,31500.00 ,43814.00 ,0.00 ,,31500.00 ,,0.00 ,,同节点,,43814.00 ,,,,,,,16500.00 ,,15000.00 ,,,,,,,,,,,,16500.00 ,,15000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
79,华南,43760.00 ,惠州北站综合开发项目,无,惠州北站综合开发项目咨询顾问服务合同,CRCCRE-SJ-CH-2019-008,可研,,中铁房地产集团华南有限公司,/,单项目：  28万元,280000.00 ,180000.00 ,0.00 ,100000.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,/,策划-1,乙方完成甲方最终认可的顾问服务报告，在甲方验收并作出书面确认后，次月30日前支付,0.85 ,238000.00 ,238000.00 ,产值确认单,43814.00 ,238000.00 ,43814.00 ,238000.00 ,43922.00 ,238000.00 ,43979.00 ,0.00 ,,同节点,,43814.00 ,280000.00 ,238000.00 ,280000.00 ,0.00 ,42000.00 ,-42000.00 ,153000.00 ,,85000.00 ,,,,,,,,,,,,153000.00 ,,85000.00 ,,,,,,,,,,,,比选,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,策划-2,合同服务期（2年）届满后次月30日前再支付剩余合同款,0.15 ,42000.00 ,42000.00 ,产值确认单,43814.00 ,42000.00 ,43814.00 ,0.00 ,,42000.00 ,,0.00 ,由于广州白云、镇龙、福州南站创一的工作量在各自合同额中切分不够，故惠州合同虽无工作量但跟创一切分产值作为补偿,同节点,,43814.00 ,,,,,,,27000.00 ,,15000.00 ,,,,,,,,,,,,27000.00 ,,15000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
80,华南,43644.00 ,框架协议（珠海）,无,地块项目咨询顾问服务委托合同书,CRCCRE-SJ-CH-2019-007,可研,,佛山市顺德区顺嘉房地产有限公司,/,满足集团要求的单宗/单项目地块前期策划顾问10+满足集团要求的单宗/单项目，用地面积10公顷及以下地块的初步概念设计方案10,1000000.00 ,500000.00 ,0.00 ,166000.00 ,167000.00 ,167000.00 ,0.00 ,,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,/,策划-1     方案-1,珠海258亩地块项目可研方案10、珠海258亩地块项目策划可研报告10、江门人才岛项目概念设计方案10、江门人才岛项目策划方案10               ,0.40 ,400000.00 ,400000.00 ,开票,43770.00 ,400000.00 ,43770.00 ,400000.00 ,43795.00 ,400000.00 ,43800.00 ,0.00 ,,同节点,,/,700000.00 ,400000.00 ,400000.00 ,300000.00 ,300000.00 ,0.00 ,200000.00 ,,,,200000.00 ,,,,,,,,,,200000.00 ,,,,200000.00 ,,,,,,,,,,比选,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,策划-2     方案-2,广州江门联合项目策划可研报告10、顺德青创示范基地策划可研项目10、顺德青创示范基地项目概念规划设计10（设计）,0.30 ,300000.00 ,300000.00 ,产值确认单,43809.00 ,300000.00 ,43809.00 ,,,0.00 ,,300000.00 ,,同节点,坏账,/,,,,,,,200000.00 ,,,100000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,策划-3     方案-3,,0.30 ,300000.00 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,华南,43115.00 ,领秀公馆北区（莘村）项目（完成）,无,中铁建佛山市顺德区北滘镇莘村180054-002地块项目规划、建筑方案及建筑设计咨询服务合同,CRCCRE-SJ-CZ-2018-005,方案+咨询,,佛山市顺德区顺嘉房地产有限公司,297478.00 ,住宅方案设计：20元/平米 ；     施工图咨询：5元/㎡,7436950.00 ,0.00 ,0.00 ,5949560.00 ,0.00 ,0.00 ,0.00 ,,1487390.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,创作一室：59.4956万元,方案-1,合同签订5个工作日内支付,0.20 ,1189912.00 ,1189912.00 ,开票,43175.00 ,1189912.00 ,/,1189912.00 ,43175.00 ,1189912.00 ,43207.00 ,0.00 ,规证面积为300469.57,完成,,,7511739.25 ,7511739.25 ,7511739.25 ,0.00 ,0.00 ,0.00 ,,,1189912.00 ,,,,,,,,,,,,,,1189912.00 ,,,,,,,,,,,,招标,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-2,图、典型单体（平、立、剖面图）设计完成并得到甲方书面确认函之日起5个工作日内支付,0.50 ,2974780.00 ,2974780.00 ,开票,43285.00 ,2974780.00 ,/,2974780.00 ,43285.00 ,2974780.00 ,43318.00 ,0.00 ,,,,,,,,,,,,,2974780.00 ,,,,,,,,,,,,,,2974780.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-3,方案调整、修改完成并通过政府审查后（规划复函）5个工作日内支付,0.25 ,1487390.00 ,1487390.00 ,开票,43348.00 ,1487390.00 ,/,1487390.00 ,43348.00 ,1487390.00 ,43419.00 ,0.00 ,,,,,,,,,,,,,1487390.00 ,,,,,,,,,,,,,,1487390.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-4,施工配合、竣工验收完成、结算完毕5个工作日内支付,0.05 ,297478.00 ,357309.40 ,产值确认单,44383.00 ,357309.40 ,44382.00 ,357309.40 ,44383.00 ,357309.40 ,44405.00 ,0.00 ,,,,,,,,,,,,,357309.40 ,,,,,,,,,,,,,,357309.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,咨询-1,合同签订甲方在提交全部设计资料给乙方后,0.20 ,297478.00 ,297478.00 ,开票,43175.00 ,297478.00 ,/,297478.00 ,43175.00 ,297478.00 ,43207.00 ,0.00 ,,,,/,,,,,,,,,,,,,,297478.00 ,,,,,,,,,,,,,,297478.00 ,,,,,,,直接委托,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,咨询-2,乙方完成方案阶段的设计咨询工作并经甲方认可后,0.30 ,446217.00 ,446217.00 ,开票,43285.00 ,446217.00 ,/,446217.00 ,43285.00 ,446217.00 ,43318.00 ,0.00 ,,,,/,,,,,,,,,,,,,,446217.00 ,,,,,,,,,,,,,,446217.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,咨询-3,乙方完成施工图阶段的设计咨询工作并经甲方认可后,0.50 ,743695.00 ,743695.00 ,开票,43348.00 ,743695.00 ,/,743695.00 ,43348.00 ,743695.00 ,43419.00 ,0.00 ,,,,/,,,,,,,,,,,,,,743695.00 ,,,,,,,,,,,,,,743695.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14957.85 ,产值确认单,44383.00 ,14957.85 ,44382.00 ,14957.85 ,44383.00 ,14957.85 ,44405.00 ,0.00 ,,,,,,,,,,,,,,,,,,14957.85 ,,,,,,,,,,,,,,14957.85 ,,,,,,,,,,,,,,,,,,,,,
82,华南,43138.00 ,顺德大良（完结）凤语潮鸣,无,中铁建佛山市顺德区大良126112-081地块项目规划、建筑方案及建筑设计咨询服务合同,CRCCRE-SJ-CZ-2018-008,管理+咨询,,佛山市顺德区顺昊房地产有限公司,229638.00 ,全过程咨询：7元/㎡方案：19元/㎡,5970588.00 ,0.00 ,4363122.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,1607466.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,/,方案-1 咨询-1,合同签订5个工作日内,0.20 ,1194117.60 ,1194117.60 ,开票,43175.00 ,1194117.60 ,/,1194117.60 ,43175.00 ,1194117.60 ,43207.00 ,0.00 ,,同节点,,43237.00 ,6068898.68 ,6068898.68 ,6068898.68 ,-98310.68 ,0.00 ,0.00 ,,872624.40 ,,,,,,321493.20 ,,,,,,,,872624.40 ,,,,,,321493.20 ,,,,,,,直接委托,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-2 咨询-2,总图、典型单体（平、立、剖面图）设计完成并得到甲方书面确认函之日起5个工作日内,0.50 ,2985294.00 ,2985294.00 ,开票,43285.00 ,2985294.00 ,/,2985294.00 ,43285.00 ,2985294.00 ,43307.00 ,0.00 ,,同节点,,43655.00 ,,,,,,,,2181561.00 ,,,,,,803733.00 ,,,,,,,,2181561.00 ,,,,,,803733.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-3 咨询-3,方案调整、修改完成并通过政府审查后（规划复函）5个工作日内支付,0.25 ,1492647.00 ,1492647.00 ,开票,43447.00 ,1492647.00 ,/,1492647.00 ,43447.00 ,1492647.00 ,43493.00 ,0.00 ,,,,,,,,,,,,1090780.50 ,,,,,,401866.50 ,,,,,,,,1090780.50 ,,,,,,401866.50 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-4 咨询-4,施工配合、竣工验收完成、结算完毕5个工作日内支付,0.05 ,298529.40 ,396840.08 ,产值确认单,45001.00 ,396840.08 ,45001.00 ,396840.08 ,45001.00 ,396840.08 ,45071.00 ,0.00 ,"付款至95%
（规证面积：233419.18）",预计11月底竣工,,,,,,,,,,,,,,,,106841.56 ,,,,,,289998.52 ,,,,,,,,106841.56 ,,,,,,289998.52 ,,,,,,,,,,,,,,,
83,南沙,43116.00 ,南沙坦尾项目（完结）,无,中国铁建坦尾项目（住宅）建筑规划方案设计合同,CRCCRE-SJ-CZ-2017-023,方案,,广州南沙中铁实业发展有限公司,490000.00 ,方案22元/㎡,10780000.00 ,0.00 ,0.00 ,10780000.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,无,方案-1,合同签订后，次月25日前,0.20 ,2156000.00 ,2156000.00 ,开票,43116.00 ,/,/,2156000.00 ,43116.00 ,2156000.00 ,,0.00 ,,同节点,,,11502346.68 ,11502346.68 ,11502346.68 ,-722346.68 ,0.00 ,0.00 ,,,2156000.00 ,,,,,,,,,,,,,,2156000.00 ,,,,,,,,,,,,直接委托,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-2,总图、典型单体（平、立、剖面图）设计完成并得到发包人书面确认函之日，次月25日前,0.50 ,5390000.00 ,5390000.00 ,开票,43629.00 ,/,/,5390000.00 ,43629.00 ,5390000.00 ,43675.00 ,0.00 ,,同节点,,/,,,,,,,,,5390000.00 ,,,,,,,,,,,,,,5390000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-3,方案调整、修改完成并通过政府审查后（规划复函），次月25日前,0.25 ,2695000.00 ,2695000.00 ,产值确认单,45652.00 ,2695000.00 ,45651.00 ,2695000.00 ,45847.00 ,2695000.00 ,45869.00 ,0.00 ,10%计入咨询中心,同节点,,/,,,,,,,,,393426.66 ,1978173.34 ,,,,323400.00 ,,,,,,,,,393426.66 ,1978173.34 ,,,,323400.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案-4,施工配合、竣工验收完毕，次月25日前,0.05 ,539000.00 ,1261346.68 ,产值确认单,45652.00 ,1261346.68 ,45651.00 ,1261346.68 ,45847.00 ,1261346.68 ,45869.00 ,0.00 ,,同节点,,/,,,,,,,,,1261346.68 ,,,,,,,,,,,,,,1261346.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,
84,华南,43336.00 ,领秀公馆北区（莘村）项目（完结）,无,中国铁建·领秀公馆（北区）地下室BIM管综优化、BIM精装等BIM应用咨询服务合同,CRCCRE-SJ-BIM-2018-007,BIM,,佛山市顺德区顺嘉房地产有限公司,296485.90 ,地下室管综7.5元/㎡；大堂精装修BIM建模150元/㎡；   全专业建模4元/㎡；,478013.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,478013.00 ,0.00 ,0.00 ,,,0.00 ,/,BIM-1,合同签订后，次月25日前付定金,0.20 ,95602.60 ,95600.00 ,开票,43467.00 ,95600.00 ,/,95600.00 ,43467.00 ,95600.00 ,43498.00 ,0.00 ,,完成,,,430200.00 ,430200.00 ,430200.00 ,47813.00 ,0.00 ,0.00 ,,,,,,,,,95600.00 ,,,,,,,,,,,,,,95600.00 ,,,,,,直接委托,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-2,乙方完成地下室BIM模型及管综优化报告且经甲方确认后次月25日前,0.40 ,191205.20 ,191200.00 ,开票,43651.00 ,191200.00 ,/,191200.00 ,43651.00 ,191200.00 ,43682.00 ,0.00 ,,,,/,,,,,,,,,,,,,,,191200.00 ,,,,,,,,,,,,,,191200.00 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-3,乙方完成所有BIM模型并提交相关报告且经甲方确认后次月25日前,0.30 ,143403.90 ,143400.00 ,开票,43651.00 ,143400.00 ,/,143400.00 ,43651.00 ,143400.00 ,43682.00 ,0.00 ,,,,/,,,,,,,,,,,,,,,143400.00 ,,,,,,,,,,,,,,143400.00 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-4,乙方完成对施工单位提交的地下室BIM深化模型审核工作并提交报告，双方办理结算且经甲方确认后次月25日前付结算款余款,0.10 ,47801.30 ,,,,,,,,,,0.00 ,,,,,,,,,,,,,,,,,,,47801.30 ,,,,,,,,,,,,,,47801.30 ,,,,,,,,,,,,,,,,,,,,
85,华南,43336.00 ,领秀公馆南区（龙涌）项目（完结）,无,中国铁建·领秀公馆（南区）地下室BIM管综优化、BIM精装等BIM应用咨询服务合同,CRCCRE-SJ-BIM-2018-006,BIM,,佛山市顺德区顺嘉房地产有限公司,203776.55 ,地下室管综7.5元/㎡；标准层建筑结构设备全专业模型80元/㎡；   大堂精装修BIM建模150元/㎡；      架空层建筑结构设备全专业建模4元/㎡；,329145.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,329145.00 ,0.00 ,0.00 ,,,0.00 ,/,BIM-1,合同签订后，次月25日前付定金,0.20 ,65829.00 ,65829.00 ,开票,43340.00 ,65829.00 ,/,65829.00 ,43340.00 ,65829.00 ,43371.00 ,0.00 ,,完成,,,329145.00 ,296230.50 ,329145.00 ,0.00 ,32914.50 ,-32914.50 ,,,,,,,,,65829.00 ,,,,,,,,,,,,,,65829.00 ,,,,,,直接委托,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-2,乙方完成地下室BIM模型及管综优化报告且经甲方确认后次月25日前,0.40 ,131658.00 ,131658.00 ,开票,43570.00 ,131658.00 ,/,131658.00 ,43570.00 ,131658.00 ,43602.00 ,0.00 ,,,,/,,,,,,,,,,,,,,,131658.00 ,,,,,,,,,,,,,,131658.00 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-3,乙方完成所有BIM模型并提交相关报告且经甲方确认后次月25日前,0.30 ,98743.50 ,98743.50 ,开票,43651.00 ,98743.50 ,/,98743.50 ,43651.00 ,98743.50 ,43682.00 ,0.00 ,,,,/,,,,,,,,,,,,,,,98743.50 ,,,,,,,,,,,,,,98743.50 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-4,乙方完成对施工单位提交的地下室BIM深化模型审核工作并提交报告，双方办理结算且经甲方确认后次月25日前付结算款余款,0.10 ,32914.50 ,32914.50 ,,,,,,,32914.50 ,,0.00 ,,,,,,,,,,,,,,,,,,,32914.50 ,,,,,,,,,,,,,,32914.50 ,,,,,,,,,,,,,,,,,,,,
86,华南,43336.00 ,顺德凤语潮鸣项目（完结）,无,地下室BIM管综优化、BIM精装修等BIM应用咨询服务合同,CRCCRE-SJ-BIM-2018-009,BIM,,佛山市顺德区顺昊房地产有限公司,228916.00 ,地下室管综7.5元/㎡；标准层建筑结构设备全专业模型80元/㎡；   合院BIM精装修建模150元/㎡；     大堂精装修BIM建模150元/㎡；      架空层建筑结构设备全专业建模4元/㎡；,709898.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,709898.00 ,0.00 ,0.00 ,,,0.00 ,/,BIM-1,合同签订后，次月25日前付定金,0.20 ,141979.60 ,141979.60 ,开票,43340.00 ,141979.60 ,/,141979.60 ,43354.00 ,141979.60 ,43405.00 ,0.00 ,,完成,,,679441.70 ,679441.70 ,679441.70 ,30456.30 ,0.00 ,0.00 ,,,,,,,,,141979.60 ,,,,,,,,,,,,,,141979.60 ,,,,,,直接委托,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-2,乙方完成地下室BIM模型及管综优化报告且经甲方确认后次月25日前,0.40 ,283959.20 ,283959.20 ,开票,44033.00 ,/,/,283959.20 ,44033.00 ,283959.20 ,44103.00 ,0.00 ,,,,/,,,,,,,,,,,,,,,283959.20 ,,,,,,,,,,,,,,283959.20 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-3,乙方完成所有BIM模型并提交相关报告且经甲方确认后次月25日前,0.30 ,212969.40 ,212969.40 ,产值确认单,44184.00 ,212969.40 ,44184.00 ,212969.40 ,44214.00 ,212969.40 ,44372.00 ,0.00 ,,,,/,,,,,,,,,,,,,,,212969.40 ,,,,,,,,,,,,,,212969.40 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM-4,乙方完成对施工单位提交的地下室BIM深化模型审核工作并提交报告，双方办理结算且经甲方确认后次月25日前付结算款余款,0.10 ,70989.80 ,40533.50 ,产值确认单,45915.00 ,40533.50 ,45915.00 ,40533.50 ,45916.00 ,40533.50 ,,0.00 ,,,,,,,,,,,,,,,,,,,40533.50 ,,,,,,,,,,,,,,40533.50 ,,,,,,,,,,,,,,,,,,,,
88,外部,44280.00 ,济南市莱芜区东风社区城中村改造安置项目,CRCCRE-DC-XM-2020-092,济南市莱芜区东风社区城中村改造安置项目设计方案优化咨询服务合同,CRCCRE-SJ-ZX-2021-002,咨询,,济南市嬴昊置业有限公司,220000.00 ,全过程咨询：5元/平米,1100000.00 ,,,,,,,,1100000.00 ,,,0.00 ,,,,,1.00 ,合同签订后，发包人在十五个工作日内支付合同总额设计优化咨询费的20%给乙方。,0.20 ,220000.00 ,220000.00 ,产值确认单,44287.00 ,220000.00 ,44287.00 ,220000.00 ,44288.00 ,220000.00 ,44372.00 ,0.00 ,,,,,1100000.00 ,220000.00 ,1100000.00 ,0.00 ,880000.00 ,-880000.00 ,,,,,,,,220000.00 ,,,,,,,,,,,,,,220000.00 ,,,,,,,投标,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,乙方完成方案阶段优化咨询工作，提交电子版《方案阶段设计咨询意见》，甲方取得建设工程规划许可证后十五个工作日内甲方支付合同总额设计优化咨询费的60%给乙方。,0.60 ,660000.00 ,660000.00 ,产值确认单,44551.00 ,660000.00 ,44551.00 ,,,660000.00 ,,0.00 ,,,,,,,,,,,,,,,,,,660000.00 ,,,,,,,,,,,,,,660000.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,乙方提交《全专业设计咨询总结报告》，甲方完成施工图审查并取得审查合格证后，十五个工作日内，双方根据建设工程规划许可证面积进行结算，甲方支付余下的设计优化咨询费给乙方。,0.20 ,220000.00 ,220000.00 ,产值确认单,44908.00 ,220000.00 ,44908.00 ,,,220000.00 ,,0.00 ,,,,,,,,,,,,,,,,,,220000.00 ,,,,,,,,,,,,,,220000.00 ,,,,,,,,,,,,,,,,,,,,,
89,东北,44284.00 ,"长春平阳街、岳阳街地块项目
（解除合同）
（完成）",CRCCRE-DC-XM-2020-082,长春市平阳街项目、岳阳街项目规划方案设计合同,,方案,,长春京德房地产开发有限公司,108533.57 ,地上18元/平方米，地下10元/平方米,1791889.00 ,,,1655705.44 ,,,,,82426.89 ,,,,,,53756.67 ,,1.00 ,合同定金，本合同签订后三十日内，本合同生效后，定金抵作设计费,0.20 ,358377.80 ,358377.80 ,产值确认单,44424.00 ,358377.80 ,44424.00 ,358377.80 ,44424.00 ,358377.80 ,45196.00 ,0.00 ,与甲方协商补40万直接签解除协议,,,,400000.00 ,400000.00 ,400000.00 ,1391889.00 ,0.00 ,0.00 ,,,331141.09 ,,,,,16485.38 ,,,,,,10751.33 ,,,331141.09 ,,,,,16485.38 ,,,,,,10751.33 ,投标,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,提交概念设计成果经甲方书面认可后三十日内,0.10 ,179188.90 ,41622.20 ,产值确认单,45134.00 ,41622.20 ,45134.00 ,41622.20 ,45134.00 ,41622.20 ,45196.00 ,0.00 ,,,,,,,,,,,,,41622.20 ,,,,,,,,,,,,,,41622.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,提交建筑方案设计（含总规划方案设计及单体方案设计）经甲方书面确认后三十日内。,0.30 ,537566.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,提交建筑方案设计（含总规划方案设计及单体方案设计）通过政府部门审批，取得规证后三十日内,0.20 ,358377.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00 ,建筑专业初步设计经甲方书面确认后三十日内,0.10 ,179188.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00 ,乙方完成施工图配合、优化配合工作且所有建筑单体施工图审查合格，竣工备案后三十日内,0.10 ,179188.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
