Year,区域,签订日期,项目名称,合同编号,类型,甲方名称,合同总金额,key
2025,南沙,2025-03-10,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2025-007,设计总包（精装外委）,广州南沙横城置业有限公司,236700,99
2025,南沙,2025-04-01,南沙横沥岛26、27地块项目,CRCCRE-SJ-XM-2024-052,设计总包（景观外委）三方合同代付,广州南沙横城置业有限公司,1951500.18,100
2025,南沙,2025-07-01,南沙横沥岛26、27地块项目,CRCCRE-SJ-XM-2024-005-B1,设计总包（方案外委）,广州南沙横城置业有限公司,664970.56,101
2025,南沙,2025-07-01,南沙横沥岛26、27地块项目,CRCCRE-SJ-XM-2024-005-B1,"设计总包
（精装外委）",广州南沙横城置业有限公司,116760,102
2025,南沙,2025-03-20,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074-B4,咨询+精审,广州南沙横城置业有限公司,320000,103
2020,外部,2020-12-31,张家口市纬一路（纬六地块）项目,CRCCRE-SJ-XM-2020-024,方案,北京三磊建筑设计有限公司,80000,104
2021,华南,2021-01-07,三亚东岸DA2-42-03地块项目（完成）	,CRCCRE-SJ-ZX-2020-018,咨询,三亚中铁建置业开发有限公司,540354.18,105
2021,华南,2021-01-20,番禺项目（完成）,CRCCRE-SJ-BIM-2020-028,BIM,广州市番禺区顺诚房地产有限公司,263346.83,106
2021,北方,2021-01-30,"正定项目B号地块咨询
（完成）",CRCCRE-SJ-ZX-2020-017,咨询,河北兴铁房地产开发有限公司,799276.73,107
2020,南沙,2020-01-07,方案设计框架协议,CRCCRE-SJ-CZ-2020-001,可研,广州南沙中铁实业发展有限公司,500000,108
2022,南沙,2022-01-28,可研框架协议,CRCCRE-SJ-CZ-2022-002,可研,中铁建南沙投资发展有限公司,1000000,109
2019,南沙,2019-07-16,南沙海悦国际项目（完结）,CRCCRE-SJ-CZ-2019-008,管理,广州南沙京沙置业有限公司,5929000,110
2019,华南,2019-05-08,广州白云区高铁站项目,CRCCRE-SJ-CH-2019-002,可研,中铁房地产集团华南有限公司,298000,111
2019,华南,2019-08-29,广州镇龙站项目,CRCCRE-SJ-CH-2019-005,可研,中铁房地产集团华南有限公司,210000,112
2019,华南,2019-11-22,福州南站项目,CRCCRE-SJ-CH-2019-009,可研,中铁房地产集团华南有限公司,210000,113
2019,华南,2019-10-22,惠州北站综合开发项目,CRCCRE-SJ-CH-2019-008,可研,中铁房地产集团华南有限公司,280000,114
2019,华南,2019-06-28,框架协议（珠海）,CRCCRE-SJ-CH-2019-007,可研,佛山市顺德区顺嘉房地产有限公司,1000000,115
2018,华南,2018-01-15,领秀公馆北区（莘村）项目（完成）,CRCCRE-SJ-CZ-2018-005,方案+咨询,佛山市顺德区顺嘉房地产有限公司,7436950,116
2018,华南,2018-02-07,顺德大良（完结）凤语潮鸣,CRCCRE-SJ-CZ-2018-008,管理+咨询,佛山市顺德区顺昊房地产有限公司,5970588,117
2018,南沙,2018-01-16,南沙坦尾项目（完结）,CRCCRE-SJ-CZ-2017-023,方案,广州南沙中铁实业发展有限公司,10780000,118
2018,华南,2018-08-24,领秀公馆北区（莘村）项目（完结）,CRCCRE-SJ-BIM-2018-007,BIM,佛山市顺德区顺嘉房地产有限公司,478013,119
2018,华南,2018-08-24,领秀公馆南区（龙涌）项目（完结）,CRCCRE-SJ-BIM-2018-006,BIM,佛山市顺德区顺嘉房地产有限公司,329145,120
2018,华南,2018-08-24,顺德凤语潮鸣项目（完结）,CRCCRE-SJ-BIM-2018-009,BIM,佛山市顺德区顺昊房地产有限公司,709898,121
2021,外部,2021-03-25,济南市莱芜区东风社区城中村改造安置项目,CRCCRE-SJ-ZX-2021-002,咨询,济南市嬴昊置业有限公司,1100000,122
2021,东北,2021-03-29,"长春平阳街、岳阳街地块项目
（解除合同）
（完成）",CRCCRE-SJ-ZX-2021-002,方案,长春京德房地产开发有限公司,1791889,123
2021,外部,2021-03-28,济南十六局董家小学项目,CRCCRE-SJ-ZX-2021-003,咨询,中铁十六局集团有限公司,100000,124
2018,西南,2018-03-01,中铁滨江项目,/,施工图设计,重庆建联新房地产开发有限公司,1874560,125
2021,北方,2021-05-06,正定B号地块项目BIM,CRCCRE-SJ-BIM-2021-003,BIM,河北兴铁房地产开发有限公司,248346.75,126
2022,北方,2022-08-10,正定项目C号地块BIM设计,CRCCRE-SJ-BIM-2022-004,BIM,河北兴铁房地产开发有限公司,320555.4,127
2022,北方,2022-12-13,正定项目D号地块BIM设计,CRCCRE-SJ-BIM-2022-014,BIM,河北兴铁房地产开发有限公司,389928.15,128
2022,北方,2022-12-22,正定项目C地块咨询,CRCCRE-SJ-ZX-2022-004,咨询,河北兴铁房地产开发有限公司,2335586.05,129
2021,北方,2021-05-20,房山文娱项目,CRCCRE-SJ-GC-2021-003,精装,中铁房地产集团北方有限公司,201650,130
2021,外部,2021-06-01,高安市全民健身体育中心项目,CRCCRE-SJ-BIM-2021-005,BIM深化,北京城建精工钢结构工程有限公司,30000,131
2021,东北,2021-07-05,长春平阳街项目（解除合同完成）,CRCCRE-SJ-BIM-2021-010,BIM,长春京德房地产开发有限公司,148345.43,132
2021,东北,2021-07-05,长春平阳街项目、岳阳街项目（解除合同完成）,CRCCRE-SJ-ZX-2021-004,咨询,长春京德房地产开发有限公司,542667.85,133
2021,北方,2021-07-23,房山文娱项目,CRCCRE-SJ-GC-2021-005,精装,中铁房地产集团北方有限公司,400000,134
2018,北方,2018-04-13,济南华山北项目（完结）,CRCCRE-SJ-CZ-2018-015,可研,中铁房地产集团济南第六大洲有限公司,440000,135
2021,北方,2021-09-02,济南郭店土河以东地块项目（花语拾光）,CRCCRE-SJ-CZ-2021-009,方案+咨询,中铁房地产集团济南置业有限公司,3414035.14,136
2021,华南,2021-10-11,广州佛山市顺德区北滘TOD项目（完结）,CRCCRE-SJ-TOD-2021-001,TOD,佛山市顺德区顺嘉房地产有限公司,2200000,137
2021,华南,2021-10-14,江门蓬江区代建文化中心项目,CRCCRE-SJ-XM-2021-008-B1,方案,江门江湾南光投资发展有限公司,1800000,138
2021,北方,2021-06-30,涿州市A2-10地块项目,CRCCRE-SJ-ZX-2021-008,咨询,涿州荣富房地产开发有限公司,1617945.77,139
2024,北方,2024-08-08,"涿州市A2-10地块项目
（语系）",CRCCRE-SJ-BIM-2024-006,BIM,涿州荣富房地产开发有限公司,60000,140
2021,北方,2021-11-01,"涿州市A2-10地块项目
（语系）
完成",CRCCRE-SJ-BIM-2021-011,BIM,涿州荣富房地产开发有限公司,431532.71,141
2021,华南,2021-11-08,南宁可研（完成）,CRCCRE-SJ-CZ-2021-014,可研,中铁房地产集团（广西）有限公司,200000,142
2021,雄安,2021-11-01,雄安站枢纽片区2号地项目（一标段）,CRCCRE-SJ-GC-2021-006,施工图设计,中铁建河北雄安城市发展有限公司,9231938.78,143
2024,雄安,2024-09-09,雄安站枢纽片区2号地项目（其他）,CRCCRE-SJ-GC-2024-010,竣工图,中铁城建集团有限公司天津分公司,126358.81,144
2019,北方,2019-09-01,天津国印项目,CRCCRE-SJ-XM-2019-008,方案,天津华汇工程建筑设计有限公司,200000,145
2021,北方,2021-09-10,"青岛铁建康养城项目
（其他）",CRCCRE-SJ-ZX-2021-009,咨询,中铁建康养产业发展有限公司，甲方名称变更为中铁建康养产业发展（青岛）投资有限公司,1253000,146
2022,外部,2022-01-10,扬中际华园项目（废）,CRCCRE-SJ-CZ-2022-001,可研,际华集团江苏实业投资有限公司,485298,147
2022,外部,2022-05-01,广州花都,/,投标补偿,深圳市粤鹏建设有限公司,140000,148
2019,贵州,2019-06-21,中国铁建西派府项目,CRCCRE-SJ-CZ-2019-005,方案,遵义黔贵房地产开发有限公司,5400000,149
2024,贵州,2024-12-30,创作二室-贵州区域可研CZ-2024-026,CRCCRE-SJ-CZ-2024-026,可研,中铁房地产集团（贵州）有限公司,480000,150
2019,贵州,2019-12-30,"可研框架协议合同
（完成）",CRCCRE-SJ-CZ-2019-020,可研,中铁房地产集团（贵州）有限公司,300000,151
2022,贵州,2022-05-08,"贵州可研框架
（完成）",CRCCRE-SJ-CZ-2019-020-B1,可研,中铁房地产集团（贵州）有限公司,300000,152
2017,贵州,2017-12-29,贵安山语城B地块项目,CRCCRE-SJ-CZ-2017-021,方案,中铁建房地产集团（贵安）有限公司,6880535.42,153
2017,贵州,2017-10-01,贵安山语城A地块项目,CRCCRE-SJ-ZX-2017-007,咨询,中铁建房地产集团（贵安）有限公司,1609005,154
2017,贵州,2017-12-13,贵安山语城B地块项目(完成),CRCCRE-SJ-ZX-2017-011,咨询,中铁建房地产集团（贵安）有限公司,1563758.05,155
2016,贵州,2016-12-26,贵阳国际城,CRCCRE-SJ-ZX-2016-005,咨询,贵州中泓房地产开发有限公司,3381538.26,156
2020,贵州,2020-01-14,"贵阳国际城
(完成)",CRCCRE-SJ-ZX-2020-002,咨询,贵州中泓房地产开发有限公司,337116.29,157
2025,贵州,2025-06-01,贵阳国际城J组团项目,CRCCRE-SJ-CZ-2025-008,方案,贵州中泓房地产开发有限公司,285000,158
2020,贵州,2020-02-12,贵州遵义国际公馆,CRCCRE-SJ-ZX-2020-006,咨询,遵义中铁京筑置业有限公司,1969658,159
2018,贵州,2018-09-26,兰草坝回迁安置项目(完成),CRCCRE-SJ-CZ-2018-028,可研,中铁房地产集团（贵州）有限公司,100000,160
2020,贵州,2020-08-07,兰草坝02号地块项目,CRCCRE-SJ-BIM-2020-016,BIM,中铁房地产集团（贵阳）有限公司,836794.5,161
2021,贵州,2021-06-22,贵州双龙航空港大数据项目（A、B园）,CRCCRE-SJ-ZX-2021-005,咨询,贵州中广文创城置业有限公司,3753719.36,162
2021,贵州,2021-07-29,贵安山语城项目A段商业街,CRCCRE-SJ-CZ-2021-007,方案+施工图,中铁建房地产集团（贵安）有限公司,1016028,163
2021,贵州,2021-07-06,贵阳兰草坝售楼处,CRCCRE-SJ-BIM-2021-008,BIM+咨询,中铁房地产集团（贵州）有限公司,250000,164
2019,贵州,2019-11-20,张家口林语山悦项目,CRCCRE-SJ-ZX-2019-012,咨询,中铁房地产集团文旅发展有限公司,465944.85,165
2020,贵州,2020-10-31,贵阳阳明文旅城项目,CRCCRE-SJ-ZX-2020-016,咨询,贵州中卓文旅置业有限公司,2436066,166
2021,贵州,2021-12-30,贵阳车水路GD（21）007号地块项目01、05地块,CRCCRE-SJ-ZX-2021-015,咨询,贵阳中铁城市建设投资有限公司,1299194.55,167
2022,贵州,2022-12-20,贵阳兰草坝灯笼坡地块项目（不审计）,CRCCRE-SJ-CZ-2022-024,方案,中铁房地产集团（贵州）有限公司,8528176,168
2021,贵州,2021-07-16,"贵阳阳明文旅城项目
（语系）",CRCCRE-SJ-CZ-2021-015,方案+售楼处施工图+施工图设计委托管理,贵州中卓文旅置业有限公司,12781209.3,169
2021,贵州,2021-09-15,贵阳铁建城项目,CRCCRE-SJ-XM-2021-018,"1.可持续发展专题2.交通专题
3.人工湖水生态环境设计专题
4.设计管理工作","中铁房地产集团（贵州）有限公司
",804065,170
2021,贵州,2021-11-15,贵阳铁建城项目,CRCCRE-SJ-XM-2021-018-B2,"1.可持续发展专题2.交通专题
3.人工湖水生态环境设计专题
4.设计管理工作",中铁房地产集团（贵阳）有限公司,506198,171
2021,贵州,2021-11-15,贵阳铁建城项目,CRCCRE-SJ-XM-2021-018-B1,"1.可持续发展专题2.交通专题
3.人工湖水生态环境设计专题
4.设计管理工作",贵阳中铁城市建设投资有限公司,1615737,172
2018,西南,2018-07-17,"成都青羊售楼处项目
（完成）",CRCCRE-SJ-ZX-2018-006,咨询,成都中铁瑞兴房地产开发有限公司 ,1041810.7,173
2020,西南,2020-07-17,四川成都青羊137地块（完成）（案名：西派金沙）,CRCCRE-SJ-ZX-2020-011,咨询,成都乐欣置业有限公司,669825.5,174
2020,西南,2020-10-16,"四川成都青羊137地块（二期）
（完成）（案名：西派金沙）",CRCCRE-SJ-ZX-2020-015,咨询,成都乐欣置业有限公司,501272.45,175
2021,西南,2021-01-15,"四川成都青羊137地块（三期）
（完成）（案名：西派金沙）",CRCCRE-SJ-ZX-2021-001,咨询,成都乐欣置业有限公司,642915.04,176
2024,贵州,2024-04-22,贵阳兰草坝棚户区03-01地块,CRCCRE-SJ-XM-2024-006,方案+景观+精装+咨询+多维汇报,贵州甲秀鹏程置业有限公司,12698912.08,177
2018,西南,2018-06-04,"成都双流华府项目

（西派国樾）
（完成）",CRCCRE-SJ-ZX-2018-005,咨询,成都中铁华府置业有限公司,3508155,178
2018,西南,2018-12-01,"昆明逸都小区B、C地块
（完成）",CRCCRE-SJ-ZX-2018-010,咨询,中铁建昆仑云南房地产有限公司,1108925,179
2018,西南,2018-07-26,"重庆寸滩项目
（西派城）",CRCCRE-SJ-ZX-2018-007,咨询,中铁房地产集团重庆有限公司,6559781.9,180
2018,西南,2018-07-26,"重庆-寸滩项目（A-34-1-19-07地块）-超豪宅项目结构顾问
(未启动)",CRCCRE-SJ-ZX-2018-007,咨询,中铁房地产集团重庆有限公司,2250000,181
2020,西南,2020-01-14,重庆茶园A81（南山和院）,CRCCRE-SJ-ZX-2020-001,咨询,重庆泽润置业有限公司,224904.15,182
2021,西南,2021-12-02,"成都高新区新川105亩地项目
（完成）
（案名：新川樾）",CRCCRE-SJ-ZX-2021-013,咨询,成都樾美置业有限公司,917827.68,183
2021,西南,2021-12-21,"成都双流东升118亩地项目
（完成）
（案名：双楠樾府）",CRCCRE-SJ-ZX-2021-011,咨询,成都都樾置业有限公司,789988.5,184
2021,西南,2021-12-21,"成都双流东升47亩地项目
（完成）（案名：棠樾）",CRCCRE-SJ-ZX-2021-012,咨询,成都冠樾置业有限公司,318727,185
2022,西南,2022-12-18,"成都青羊40亩项目
（锦樾）
（完成）",CRCCRE-SJ-ZX-2022-006,咨询,成都耀派置业有限公司,346166.75,186
2022,西南,2022-12-18,"成都青羊101亩项目
（青羊樾府）（完成）",CRCCRE-SJ-ZX-2022-005,咨询,成都佳派置业有限公司,683606,187
2023,西南,2023-12-20,高新西区26亩项目,CRCCRE-SJ-ZX-2023-054,精审+BIM,四川国恒建筑设计有限公司,46400,188
2023,西南,2023-12-20,高新西区26亩项目,CRCCRE-SJ-ZX-2023-055,精审+BIM,四川国恒建筑设计有限公司,210000,189
2024,西南,2024-01-18,"成都市双流区麓湖76亩项目
（西派臻境）",CRCCRE-SJ-XM-2023-087,方案+景观+精装+咨询+多维汇报,成都冠麓置业有限公司,7875534.04,190
2024,西南,2024-08-14,"成都市双流区麓湖76亩项目
（西派臻境）",CRCCRE-SJ-XM-2023-087-B1,BIM+精装样板间,成都冠麓置业有限公司,299137.39,191
2024,西南,2024-06-19,"成都武侯区51亩住宅及配套项目
（西派善境）",CRCCRE-SJ-XM-2024-021,方案+景观+精装+BIM,成都蓉派置业有限公司,6469085.72,192
2024,西南,2024-11-18,"成都锦江区31亩项目
（西派交子）",CRCCRE-SJ-XM-2024-055,方案+景观+精装+BIM,成都中铁建锦城投资有限公司,4223837.65,193
2025,西南,2025-11-12,"成都武侯区54.63亩项目
（武侯西派御府）",CRCCRE-SJ-XM-2025-036,方案+景观+精装+BIM,成都能安置业有限公司,9455119.11,194
2018,华中,2018-09-10,"太原项目
（完成）",CRCCRE-SJ-CZ-2018-054,方案,太原中铁房地产开发有限公司,4440619.58,195
2020,华中,2020-09-10,"太原市万柏林区东社村
（完成）",CRCCRE-SJ-CZ-2018-054-B1,方案,太原中铁房地产开发有限公司,350000,196
2021,华中,2021-01-05,"太原山语城
（西府国际）
（完成）",CRCCRE-SJ-BIM-2021-001,BIM,太原中铁房地产开发有限公司,158103.53,197
2018,华中,2018-12-30,新疆昌吉市新悦铭城地块、新疆乌鲁木齐城市进入研究顾问、新疆昌吉市城市进入研究顾问,CRCCRE-SJ-CH-2018-019,策划,太原中铁房地产开发有限公司,200000,198
2018,华中,2018-12-30,太原置业方案可研,CRCCRE-SJ-CZ-2018-052,可研,太原中铁房地产开发有限公司,400000,199
2019,华中,2019-06-20,太原花语堂项目,CRCCRE-SJ-ZX-2019-009,咨询,太原中铁嘉晟房地产开发有限公司,2025634.65,200
2020,华中,2020-08-10,太原花语堂项目（完成）,CRCCRE-SJ-BIM-2020-013,BIM,太原中铁嘉晟房地产开发有限公司,3700000,201
2023,华中,2023-07-21,西安西派璟悦,CRCCRE-SJ-XM-2023-020,设计总包（方案外委）,西安国际港务区京港房地产开发有限公司,4001085,202
2023,华中,2023-07-21,西安西派璟悦,CRCCRE-SJ-XM-2023-020,设计总包（景观外委）,西安国际港务区京港房地产开发有限公司,2759220,203
2023,华中,2023-07-21,西安西派璟悦,CRCCRE-SJ-XM-2023-020,设计总包（精装外委）,西安国际港务区京港房地产开发有限公司,1260000,204
2023,华中,2023-07-21,西安西派璟悦,CRCCRE-SJ-XM-2023-020,设计总包（自揽BIM部分）,西安国际港务区京港房地产开发有限公司,477082,205
2023,华中,2023-07-21,西安西派璟悦,CRCCRE-SJ-XM-2023-020,设计总包（自揽咨询部分）,西安国际港务区京港房地产开发有限公司,679276.5,206
2023,华中,2023-07-21,西安西派璟悦,CRCCRE-SJ-XM-2023-020,设计总包（专项外委：创新售楼处、泛光）,西安国际港务区京港房地产开发有限公司,480000,207
2023,华中,2023-10-20,"西安港务区93亩项目
（西派麟悦）
（完结）",CRCCRE-SJ-XM-2023-054,设计总包（方案外委）,西安国际港务区京港房地产开发有限公司,3005429.58,208
2023,华中,2023-10-20,"西安港务区93亩项目
（西派麟悦）
（完结）",CRCCRE-SJ-XM-2023-054,设计总包（景观外委）,西安国际港务区京港房地产开发有限公司,3031301,209
2023,华中,2023-10-20,"西安港务区93亩项目
（西派麟悦）
（完结）",CRCCRE-SJ-XM-2023-054,设计总包（精装外委）,西安国际港务区京港房地产开发有限公司,1602858.89,210
2023,华中,2023-10-20,"西安港务区93亩项目
（西派麟悦）
（完结）",CRCCRE-SJ-XM-2023-054,设计总包（自揽BIM部分）,西安国际港务区京港房地产开发有限公司,1011151.3,211
2023,华中,2023-10-20,"西安港务区93亩项目
（西派麟悦）
（完结）",CRCCRE-SJ-XM-2023-054,设计总包（自揽咨询部分）,西安国际港务区京港房地产开发有限公司,594268.86,212
2023,华中,2023-10-20,"西安港务区93亩项目
（西派麟悦）
（完结）",CRCCRE-SJ-XM-2023-054,设计总包（自揽精审部分）,西安国际港务区京港房地产开发有限公司,191699.63,213
2023,华中,2023-12-15,西安西派玺樾（推广名：西派玺悦）,CRCCRE-SJ-XM-2023-073,设计总包（方案外委）,西安铁昇房地产开发有限公司,5185500,214
2023,华中,2023-12-15,西安西派玺樾（推广名：西派玺悦）,CRCCRE-SJ-XM-2023-073,设计总包（景观外委）,西安铁昇房地产开发有限公司,1715044,215
2023,华中,2023-12-15,西安西派玺樾（推广名：西派玺悦）,CRCCRE-SJ-XM-2023-073,设计总包（精装外委）,西安铁昇房地产开发有限公司,3239912,216
2023,华中,2023-12-15,西安西派玺樾（推广名：西派玺悦）,CRCCRE-SJ-XM-2023-073,设计总包（自揽BIM部分）,西安铁昇房地产开发有限公司,1035000,217
2023,华中,2023-12-15,西安西派玺樾（推广名：西派玺悦）,CRCCRE-SJ-XM-2023-073,设计总包（自揽咨询部分）,西安铁昇房地产开发有限公司,791600,218
2023,华中,2023-12-15,西安西派玺樾（推广名：西派玺悦）,CRCCRE-SJ-XM-2023-073,设计总包（自揽精审部分）,西安铁昇房地产开发有限公司,197900,219
2024,华中,2024-05-20,西安井上村DK9地块项目（西派天麓）语,CRCCRE-SJ-XM-2024-018,"设计总包
（方案外委）",西安景悦房地产开发有限公司,1466871.2,220
2024,华中,2024-05-20,西安井上村DK9地块项目（西派天麓）语,CRCCRE-SJ-XM-2024-018,"设计总包
（景观外委）",西安景悦房地产开发有限公司,927000,221
2024,华中,2024-05-20,西安井上村DK9地块项目（西派天麓）语,CRCCRE-SJ-XM-2024-018,"设计总包
（精装外委）
展示区、公区部分",西安景悦房地产开发有限公司,610710.3,222
2024,华中,2024-05-20,西安井上村DK9地块项目（西派天麓）语,CRCCRE-SJ-XM-2024-018,"设计总包
（精装外委）
配套公建部分",西安景悦房地产开发有限公司,225200,223
2024,华中,2024-05-20,西安井上村DK9地块项目（西派天麓）语,CRCCRE-SJ-XM-2024-018,"设计总包
（自揽BIM部分）",西安景悦房地产开发有限公司,524437.32,224
2024,华中,2024-05-20,西安井上村DK9地块项目（西派天麓）语,CRCCRE-SJ-XM-2024-018,"设计总包
（自揽咨询部分）",西安景悦房地产开发有限公司,369164.08,225
2024,华中,2024-05-20,西安井上村DK9地块项目（西派天麓）语,CRCCRE-SJ-XM-2024-018,"设计总包
（自揽精审）",西安景悦房地产开发有限公司,92291.02,226
2024,华中,2024-05-22,西安中国铁建·语澜溪项目,CRCCRE-SJ-XM-2024-019,"设计总包
（方案外委）",西安国际港务区港新房地产开发有限公司,2484539,227
2024,华中,2024-05-22,西安中国铁建·语澜溪项目,CRCCRE-SJ-XM-2024-019,"设计总包
（景观外委）",西安国际港务区港新房地产开发有限公司,1131400,228
2024,华中,2024-05-22,西安中国铁建·语澜溪项目,CRCCRE-SJ-XM-2024-019,"设计总包
（精装外委）",西安国际港务区港新房地产开发有限公司,1960564.3,229
2024,华中,2024-05-22,西安中国铁建·语澜溪项目,CRCCRE-SJ-XM-2024-019,"设计总包
（自揽BIM）",西安国际港务区港新房地产开发有限公司,810840,230
2024,华中,2024-05-22,西安中国铁建·语澜溪项目,CRCCRE-SJ-XM-2024-019,"设计总包
（自揽咨询）",西安国际港务区港新房地产开发有限公司,615844,231
2024,华中,2024-05-22,西安中国铁建·语澜溪项目,CRCCRE-SJ-XM-2024-019,"设计总包
（自揽精审）",西安国际港务区港新房地产开发有限公司,153961,232
2024,华中,2024-07-04,"西安井上村DK8地块项目（商办）
（西派天峰中心）",CECCRE-SJ-XM-2024-029,"设计总包
（景观外委）",西安景信房地产开发有限公司,1132955,233
2024,华中,2024-07-04,"西安井上村DK8地块项目（商办）
（西派天峰中心）",CECCRE-SJ-XM-2024-029,"设计总包
（精装外委）",西安景信房地产开发有限公司,1036881,234
2024,华中,2024-07-04,"西安井上村DK8地块项目（商办）
（西派天峰中心）",CECCRE-SJ-XM-2024-029,"设计总包
（自揽BIM）",西安景信房地产开发有限公司,1147644.2,235
2024,华中,2024-07-04,"西安井上村DK8地块项目（商办）
（西派天峰中心）",CECCRE-SJ-XM-2024-029,"设计总包
（自揽咨询）",西安景信房地产开发有限公司,459057.68,236
2024,华中,2024-07-04,"西安井上村DK8地块项目（商办）
（西派天峰中心）",CECCRE-SJ-XM-2024-029,"设计总包
（自揽精审）",西安景信房地产开发有限公司,114764.42,237
2024,华中,2024-07-04,"西安井上村DK8地块项目（商办）
（西派天峰中心）",CECCRE-SJ-XM-2024-029,"设计总包
（交通专项外委部分）",西安景信房地产开发有限公司,360000,238
2024,华中,2024-07-26,西安井上村DK8地块项目（西派天著）,CRCCRE-SJ-XM-2024-031,"设计总包
（景观外委）",西安景信房地产开发有限公司,2756380.5,239
2024,华中,2024-07-26,西安井上村DK8地块项目（西派天著）,CRCCRE-SJ-XM-2024-031,"设计总包
（精装外委）",西安景信房地产开发有限公司,2133613.3,240
2024,华中,2024-07-26,西安井上村DK8地块项目（西派天著）,CRCCRE-SJ-XM-2024-031,"设计总包
（自揽BIM）",西安景信房地产开发有限公司,1388990.93,241
2024,华中,2024-07-26,西安井上村DK8地块项目（西派天著）,CRCCRE-SJ-XM-2024-031,"设计总包
（自揽咨询）",西安景信房地产开发有限公司,1095783.96,242
2024,华中,2024-07-26,西安井上村DK8地块项目（西派天著）,CRCCRE-SJ-XM-2024-031,"设计总包
（自揽精审）",西安景信房地产开发有限公司,273945.99,243
2024,华中,2024-08-01,西安西派和樾,CRCCRE-SJ-XM-2024-037,BIM地上+地下,西安越隽恒铁房地产开发有限公司,998712.23,244
2024,华中,2024-08-01,西安西派和樾,CRCCRE-SJ-XM-2024-037,精审,西安越隽恒铁房地产开发有限公司,187326.41,245
2024,华中,2024-09-27,西安西派天峯中心项目(DK9商办),CRCCRE-SJ-XM-2024-049,"设计总包
（方案外委）",西安景悦房地产开发有限公司,917391.68,246
2024,华中,2024-09-27,西安西派天峯中心项目(DK9商办),CRCCRE-SJ-XM-2024-049,"设计总包
（景观外委）",西安景悦房地产开发有限公司,448089.6,247
2024,华中,2024-09-27,西安西派天峯中心项目(DK9商办),CRCCRE-SJ-XM-2024-049,"设计总包
（精装外委）",西安景悦房地产开发有限公司,297041.2,248
2024,华中,2024-09-27,西安西派天峯中心项目(DK9商办),CRCCRE-SJ-XM-2024-049,"设计总包
（自揽BIM）",西安景悦房地产开发有限公司,386997.1,249
2024,华中,2024-09-27,西安西派天峯中心项目(DK9商办),CRCCRE-SJ-XM-2024-049,"设计总包
（自揽咨询）",西安景悦房地产开发有限公司,154798.84,250
2024,华中,2024-09-27,西安西派天峯中心项目(DK9商办),CRCCRE-SJ-XM-2024-049,"设计总包
（自揽精审）",西安景悦房地产开发有限公司,38699.71,251
2025,华中,2025-04-29,"西安港务区46亩项目
（花语博悦）",CRCCRE-SJ-XM-2025-009,"设计总包
（方案外委）",西安国际港务区京港房地产开发有限公司,1952770.09,252
2025,华中,2025-04-29,"西安港务区46亩项目
（花语博悦）",CRCCRE-SJ-XM-2025-009,"设计总包
（景观外委）",西安国际港务区京港房地产开发有限公司,677200,253
2025,华中,2025-04-29,"西安港务区46亩项目
（花语博悦）",CRCCRE-SJ-XM-2025-009,"设计总包
（精装外委）",西安国际港务区京港房地产开发有限公司,1201529.7,254
2025,华中,2025-04-29,"西安港务区46亩项目
（花语博悦）",CRCCRE-SJ-XM-2025-009,"设计总包
（自揽BIM）",西安国际港务区京港房地产开发有限公司,306794.98,255
2025,华中,2025-04-29,"西安港务区46亩项目
（花语博悦）",CRCCRE-SJ-XM-2025-009,"设计总包
（自揽咨询）",西安国际港务区京港房地产开发有限公司,393589.96,256
2025,华中,2025-04-29,"西安港务区46亩项目
（花语博悦）",CRCCRE-SJ-XM-2025-009,"设计总包
（自揽精审）",西安国际港务区京港房地产开发有限公司,98397.49,257
2025,华中,2025-04-29,"西安港务区46亩项目
（花语博悦）",CRCCRE-SJ-XM-2025-009,"设计总包
（智能化外委）",西安国际港务区京港房地产开发有限公司,127916.74,258
2025,华中,2025-06-30,西安高新区31亩项目,CRCCRE-SJ-BIM-2025-003,BIM,西安铁晟越合房地产开发有限公司,273650.01,259
2020,华中,2020-03-13,西安西派国际项目（明月府邸）（完成）,CRCCRE-SJ-XM-2019-005,BIM,甲：中国铁建房地产集团有限公司 乙：西安中铁京泰房地产开发有限公司,4077227.24,260
2020,物业,2020-03-02,"复兴路40号院职工家属区项目
(完成)",CRCCRE-SJ-GC-2020-002,施工图,中铁建物业管理有限公司,750000,261
2020,物业,2020-03-02,"玉泉路65号和19号院小区改造工程
(完成)",CRCCRE-SJ-GC-2020-003,施工图,中铁建物业管理有限公司,420000,262
2019,物业,2019-11-15,"梧桐苑项目小市政管道改造工程
(完成)",CRCCRE-SJ-GC-2019-002,施工图,中铁建物业管理有限公司,420000,263
2021,华中,2021-03-19,太原武宿机场片区,CRCCRE-SJ-CZ-2021-002,方案,中铁房地产集团华中有限公司,1620000,264
2022,华中,2022-09-30,"西派樘樾小区项目
（不审计）
（完成）",CRCCRE-SJ-XM-2022-031,方案+施工图,西安铁晟房地产开发有限公司,1714653,265
2018,外部,2018-10-23,"中铁十九局御水澜湾
（完成）",CRCCRE-SJ-ZX-2018-008,咨询,中铁十九局集团（沈阳）房地产开发有限公司,2342284,266
2018,外部,2018-06-04,玉泉路项目,CRCCRE-SJ-ZX-2018-004,咨询,北京中实置业有限公司,668682,267
