Year,区域,签订日期,项目名称,合同编号,类型,甲方名称,合同总金额,key
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,施工图优化咨询,苏州京发房地产开发有限公司,666723.05,512
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,管理费,苏州京发房地产开发有限公司,342730.45,513
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,"施工图设计
管理",苏州京发房地产开发有限公司,3459767.12,514
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,"施工图设计
管理（补充协议）",苏州京发房地产开发有限公司,98000,515
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,景观设计管理,苏州京发房地产开发有限公司,1116800,516
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,批量精装设计管理,苏州京发房地产开发有限公司,1304150,517
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,泛光照明,苏州京发房地产开发有限公司,130000,518
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,节能优化,苏州京发房地产开发有限公司,225000,519
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,门窗栏杆幕墙等外立面设计,苏州京发房地产开发有限公司,100000,520
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,标识标牌,苏州京发房地产开发有限公司,42800,521
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,智能化设计,苏州京发房地产开发有限公司,130000,522
2022,华东,2022-07-15,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2022-018,其他,苏州京发房地产开发有限公司,346091.89,523
2023,华东,2023-07-11,苏州车坊项目（苏州星樾湖滨）,CRCCRE-SJ-XM-2023-021,创新型销售中心方案设计研发,苏州京发房地产开发有限公司,200000,524
2022,华东,2022-10-10,上海泗泾08-01项目（中国铁建·星樾云栖）,CRCCRE-SJ-XM-2022-030,建筑方案设计+BIM建模及BIM全过程咨询+设计优化咨询+管理,上海京淼鑫房地产有限公司,16307902.4,525
2022,华东,2022-10-10,上海泗泾01-02项目（中国铁建·花语天境）,CRCCRE-SJ-XM-2022-027,建筑方案设计+BIM建模及BIM全过程咨询+设计优化咨询+精装设计，精装修图纸送审的配合工作(包括图框使用、图纸审查等)+管理,上海京沐鑫房地产有限公司,18664509.1,526
